hero_id,skill_id,name,type,coeff,cd,resource,crowd_control,effect_text
姜子牙,姜子牙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
姜子牙,姜子牙_s2,打神鞭,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
姜子牙,姜子牙_s3,封神符诏,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
姜子牙,姜子牙_s4,乾坤借法,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
杨戬,杨戬_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
杨戬,杨戬_s2,三尖两刃,Active,2.4,8,怒30,,瞬移至后排造成260%ATK并标记（受伤+10%×6秒）
杨戬,杨戬_s3,天眼·真形,Active,3.0,12,怒40,,对单体造成320%ATK，若目标带有标记则额外+120%ATK；阐教：额外提升全队效果抵抗+5%
杨戬,杨戬_s4,哮天同击,Ultimate,5.0,18,怒80,沉默1.5s,连续3段，共计520%ATK，并对后排施加沉默
哪吒,哪吒_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
哪吒,哪吒_s2,火尖枪,Active,2.4,8,怒30,,对扇形范围造成240%ATK，并附加破甲20%×6秒
哪吒,哪吒_s3,乾坤圈,Active,3.0,12,怒40,击飞0.8s,突进至后排目标造成300%ATK并击飞；阐教：额外提升全队效果抵抗+5%
哪吒,哪吒_s4,风火轮,Ultimate,5.0,18,怒80,,对生命最低的敌人造成500%ATK，若其生命低于30%则斩杀
太乙真人,太乙真人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
太乙真人,太乙真人_s2,黄巾力士,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
太乙真人,太乙真人_s3,九转回魂,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
太乙真人,太乙真人_s4,太乙护法,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
广成子,广成子_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
广成子,广成子_s2,落宝金钱,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
广成子,广成子_s3,太极仙光,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
广成子,广成子_s4,天地遁形,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
燃灯道人,燃灯道人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
燃灯道人,燃灯道人_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
燃灯道人,燃灯道人_s3,御符,Active,3.0,12,怒40,,为前排施加护盾（等同施法者18%最大生命），并提升效果抵抗+15%×6秒；阐教：额外提升全队效果抵抗+5%
燃灯道人,燃灯道人_s4,太清加持,Ultimate,5.0,18,怒80,,全队获得20%攻速+15%攻击×8秒，并立即回复30点怒
玉鼎真人,玉鼎真人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
玉鼎真人,玉鼎真人_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
玉鼎真人,玉鼎真人_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
玉鼎真人,玉鼎真人_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
赤精子,赤精子_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
赤精子,赤精子_s2,灵光术,Active,2.4,8,怒30,减速30%×3s,对圆形范围造成240%ATK并减速
赤精子,赤精子_s3,封禁术,Active,3.0,12,怒40,禁疗3s,对单体造成320%ATK并施加易伤15%×6秒与禁疗；阐教：额外提升全队效果抵抗+5%
赤精子,赤精子_s4,天威法相,Ultimate,5.0,18,怒80,眩晕1.5s,对全体造成500%ATK并眩晕1.5秒
黄龙真人,黄龙真人_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
黄龙真人,黄龙真人_s2,护阵·坚壁,Active,2.4,8,怒30,嘲讽2s,对前排造成240%ATK并嘲讽2秒，自身获得等同最大生命12%的护盾
黄龙真人,黄龙真人_s3,金汤·镇守,Active,3.0,12,怒40,,为全队施加8%减伤与抵抗+10%，持续6秒；阐教：额外提升全队效果抵抗+5%
黄龙真人,黄龙真人_s4,不动城垣,Ultimate,5.0,18,怒80,击退1.5s,对全体造成500%ATK并击退，获得30%减伤与嘲讽3秒
惧留孙,惧留孙_s1,普攻,Basic,1.0,0,0,,对当前目标造成100%ATK伤害
惧留孙,惧留孙_s2,清心诀,Active,2.4,8,怒30,,为全队恢复等同施法者120%ATK的生命并净化1个减益
